EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PESQUERA MAGGI MAGGI SA DE CV,CAMPANA,CAMPAÑA DE ´POSICIONAMIENTO ESTRATEGICO DE LA PESCA Y PROMOCIÓN DE LA PESCA SUSTENTABLE ,6800000,6800000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,PESQUERA MAGGI MAGGI SA DE CV,2508010507,Disponible,FOMENTO AL CONSUMO,PESQUERA MAGGI MAGGI SA DE CV-PESQUERA MAGGI MAGGI SA DE CV-2508010507-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC,ESTUDIO,ESTUDIO ANALITICO Y NUTRIMENTAL DE PRODUCTOS PESQUEROS Y ACUICOLAS MEXICANOS,1667094,1667094,PESCADOS Y MARISCOS,NACIONAL,PACIFICO NORTE,SONORA,26,HERMOSILLO,26030,HERMOSILLO,260300001,MORAL,260300001,CENTRO DE INVEST EN ALIMENTACION Y DESARROLLO AC (CIAD),2508011059,Disponible,FOMENTO AL CONSUMO,CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC-CENTRO DE INVEST EN ALIMENTACION Y DESARROLLO AC (CIAD)-2508011059-260300001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,MISIONES COMERCIALES Y DE INTERCAMBIO,MISIONES COMERCIALES Y DE INTERCAMBIO,FRUTOS MARINOS SA DE CV,MISION,"MISION COMERCIAL DE NEGOCIOS A RUSIA, EN APOYO A LA COMERCIALIZACION DE PRODUCTOS PESQUEROS Y ACUICOLAS",70000,70000,PESCADOS Y MARISCOS,MUNDIAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,FRUTOS MARINOS SA DE CV,2604610135,Disponible,FOMENTO AL CONSUMO,FRUTOS MARINOS SA DE CV-FRUTOS MARINOS SA DE CV-2604610135-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION DE PRODUCTORES ACUICOLAS DEL ESTADO DE ZACATECAS SISTEMA PRODUCTO TILAPIA AC,FERIA,QUINTA FERIA DE LA TILAPIA 2018,197190,197190,TILAPIA,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,ASOCIACION DE PRODUCTORES DE TILAPIA DEL ESTADO DE TLAXCALA AC,2901002523,Disponible,FOMENTO AL CONSUMO,ASOCIACION DE PRODUCTORES ACUICOLAS DEL ESTADO DE ZACATECAS SISTEMA PRODUCTO TILAPIA AC-ASOCIACION DE PRODUCTORES DE TILAPIA DEL ESTADO DE TLAXCALA AC-2901002523-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,CAMPANA,CAMPANA INTEGRAL III DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,10000000,10000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,EVENTO,FERIA NACIONAL DE SARDINA,600000,600000,SARDINA,REGIONAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,ESTUDIO,ESTUDIO ANALITICO Y NUTRIMENTAL DE PRODUCTOS PESQUEROS Y ACUICOLAS MEXICANOS,1597600,1597600,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. TLALPAN,9012,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN-XX-XX-09012XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",VICTORIA POR VICTORIA AC,EVENTO,2DO FORO ACUICOLA Y PESQUERO DE LA CONFEDERACION NACIONAL CAMPESINA UNPAC-CNC 2015,2500000,2500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,VICTORIA POR VICTORIA AC-XX-XX-250120001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,EVENTO,FESTIVAL DE CAMARON 2016,1000000,1000000,CAMARON,ESTATAL,AGUAS INTERIORES,DURANGO,10,DURANGO,10005,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-10005XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,CAMPANA,CAMPANA INTEGRAL II DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,21000000,21000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",FEDERACION DE COOPERATIVAS DE PRODUCCION PESQUERAS AUTENTICOS PESCADORES DE LA BAHIA DEL TOBARI SC DE RL DE CV,EVENTO,PRIMER CONGRESO NACIONAL COOPERATIVO DEL SECTOR PESQUERO MEXICANO 2018,3200000,3200000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SONORA,26,ACONCHI,26001,ACONCHI,260010001,MORAL,260010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,FEDERACION DE COOPERATIVAS DE PRODUCCION PESQUERAS AUTENTICOS PESCADORES DE LA BAHIA DEL TOBARI SC DE RL DE CV-XX-XX-260010001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",UNION NACIONAL DE PESCA Y ACUACULTURA DE LA CONFEDERACION NACIONAL CAMPESINA AC,EVENTO,LA REVOLUCION ACUICOLA Y PESQUERA DE MEXICO,1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,NAYARIT,18,TEPIC,18017,TEPIC,180170001,MORAL,180170001,NA,NA,No Disponible,FOMENTO AL CONSUMO,UNION NACIONAL DE PESCA Y ACUACULTURA DE LA CONFEDERACION NACIONAL CAMPESINA AC-XX-XX-180170001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",HINFRA SA DE CV,EVENTO,UNA AVENTURA MARINA 2016,1000000,1000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,PUEBLA,21,PUEBLA,21114,HEROICA PUEBLA DE ZARAGOZA,211140001,MORAL,211140001,NA,NA,No Disponible,FOMENTO AL CONSUMO,HINFRA SA DE CV-XX-XX-211140001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",OSTRICULTORES DE BAJA CALIFORNIA AC,EVENTO,OYSTER FEST 2019,186409.2,186000,OSTION,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,OSTRICULTORES DE BAJA CALIFORNIA AC-XX-XX-02001XXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO ,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,CAMPAÑA,CAMPAÑA DE PROMOCIÓN Y FOMENTO AL CONSUMO DE LA SARDINA MEXICANA,2700000,1500000,SARDINA,NACIONAL,SIN ESPECIFICAR,NACIONAL,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO DE BAJA SEAFOOD EXPO AC,EVENTO,BAJA SEAFOOD 2014,1000000,1000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO DE BAJA SEAFOOD EXPO AC-XX-XX-020010001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,CAMPANA,CAMPAÑA INTEGRAL II DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS 2017,7000000,7000000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO ,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,CAMPANA,CAMPANA INTEGRAL I DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS 2016,7000000,7000000,PESCADOS Y MARISCOS,NACIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-XXXXXXXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2019,490000,400000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,NA,9,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-09XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,CAMPANA,CAMPANA INTEGRAL II DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,25000000,25000000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION DE PROFESIONALES DE LA TECNOLOGIA Y CIENCIAS DEL MAR AC,EVENTO,"SEGUNDO ENCUENTRO TECNOLOGÍCO PARA LA TRANSFORMACIÓN DE PRODUCTOS PESQUEROS Y ACUÍCOLAS""",4300000,4300000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,ASOCIACION DE PROFESIONALES DE LA TECNOLOGIA Y CIENCIAS DEL MAR AC-XX-XX-250120001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",KYSHA SERVICIOS DEL VALLE SA DE CV,EVENTO,SABORES DEL MAR,3950000,3950000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,KYSHA SERVICIOS DEL VALLE SA DE CV-XX-XX-250120001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ESTRATEGIA GERENCIAL VILLALAZOS Y ASOCIADOS SC,EVENTO,1ER FORO GASTRONÓMICO DE PESCADOS Y MARISCOS DE LA PAZ,1480000,400000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ESTRATEGIA GERENCIAL VILLALAZOS Y ASOCIADOS SC-XX-XX-03XXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"DIFUSION. MATERIAL IMPRESO, DIGITAL Y AUDIOVISUAL, ASI COMO MATERIAL INFORMATIVO, DIDACTICO Y PUBLICITARIO",SISTEMA PRODUCTO RANA MICHOACAN AC,DIFUSION,DIFUSION DE LA MARCA COMERCIAL RANCAS,87810,87810,RANA,NACIONAL,PACIFICO SUR,MICHOACAN,16,MORELIA,16053,MORELIA,160530001,MORAL,160530001,NA,NA,No Disponible,FOMENTO AL CONSUMO,SISTEMA PRODUCTO RANA MICHOACAN AC-XX-XX-160530001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COOPEL AZCONA ASESORES SC,EVENTO,EXPO INNOVACIÓN ACUÍCOLA Y PESQUERA,1000000,1000000,PESCADOS Y MARISCOS,NACIONAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COOPEL AZCONA ASESORES SC-XX-XX-250120001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,CAMPANA,CAMPANA INREGRAL III DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS 2015,5000000,5000000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",XCD DESARROLLADORA SA DE CV,EVENTO,EVENTO NACIONAL EXPO ANTAD 2015,850000,850000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,GUADALAJARA,14039,GUADALAJARA,140390001,MORAL,140390001,NA,NA,No Disponible,FOMENTO AL CONSUMO,XCD DESARROLLADORA SA DE CV-XX-XX-140390001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CESAR ALEJANDRO VELASCO MACIAS,EVENTO,"ACUACULTURA Y PESCA, LA FORTALEZA DE MÉXICO   UNPAC-CNC",2500000,2500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,SAN LUIS POTOSI,24,SAN CIRO DE ACOSTA,24027,SAN CIRO DE ACOSTA,240270001,FISICA,240270001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CESAR ALEJANDRO VELASCO MACIAS-XX-XX-240270001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO NACIONAL OSTRICOLA AC,EVENTO,FESTIVAL DE LAS CONCHAS Y VINO NUEVO,1200000,700000,OSTION,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO NACIONAL OSTRICOLA AC-XX-XX-02001XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,IPSOS BIMSA SA DE CV,ESTUDIO,ESTUDIO NACIONAL DE HABITOS Y CONSUMO DE PESCADOS Y MARISCOS PRODUCIDOS EN MEXICO,1999469,1999469,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAJIMALPA DE MORELOS,9004,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,IPSOS BIMSA SA DE CV-XX-XX-09004XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 2015,4000000,4000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09014XXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2016,1000000,1000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",LIFESTYLE DESIGNERS DE RL,EVENTO,MERCADO DE PESCADOS Y MARISCOS MEXICANOS 2015,2288000,2288000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,LIFESTYLE DESIGNERS DE RL-XX-XX-XXXXXXXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",EVENTOS SOCIALES Y GASTRONOMICOS DE LA PENA MELO SA DE CV,EVENTO,"EVENTO NACIONAL PARA LA PROMOCION DEL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS, PABELLON PESQUERO Y ACUICOLA, DENTRO DEL EVENTO MEXICO ALIMENTARIA 2016, FOOD SHOW",4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,OAXACA,20,OAXACA DE JUAREZ,20067,OAXACA DE JUAREZ,200670001,MORAL,200670001,NA,NA,No Disponible,FOMENTO AL CONSUMO,EVENTOS SOCIALES Y GASTRONOMICOS DE LA PENA MELO SA DE CV-XX-XX-200670001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PRODUCCIONES QUE DESPIERTAN SA DE CV,EVENTO,INFOGRAFIA DEL SECTOR PESQUERO Y ACUICOLA MEXICANO EN EL MARCO DE LA QUINTA CUMBRE MUNDIAL DE LOS OCEANOS,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PRODUCCIONES QUE DESPIERTAN SA DE CV-XX-XX-09015XXXX
