EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA Y DE SERVICIOS LA ALAMOSA S DE RL,EVENTO,FOMENTO DE PRODUCTOS MARINOS COMO MATERIA PRIMA,1000000,1000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA Y DE SERVICIOS LA ALAMOSA S DE RL-XX-XX-250120001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE ESTATAL SISTEMA PRODUCTO PULPO YUCATAN AC,EVENTO,FERIA REGIONAL PARA PULPO,200000,200000,PULPO,REGIONAL,CARIBE,YUCATAN,31,MERIDA,31050,MERIDA,310500001,MORAL,310500001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE ESTATAL SISTEMA PRODUCTO PULPO YUCATAN AC-XX-XX-310500001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 2014,4000000,4000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09014XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,COMITE SISTEMA PRODUCTO TILAPIA DE ANGELOPOLIS AC,ESTUDIO,"ESTUDIO DE DIAGNOSTICO PARA IDENTIFICAR LAS LIMITANTES EN EL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS, Y PROPONER ESTRATEGIAS PARA AMPLIAR COBERTURA EN LA DISTRIBUCION DE PRODUCTOS PESQUEROS EN LA REGION SUR-SURESTE",2000000,2000000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,PUEBLA,21,HUEYTAMALCO,21076,HUEYTAMALCO,210760001,MORAL,210760001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO TILAPIA DE ANGELOPOLIS AC-XX-XX-210760001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SISTEMA PRODUCTO TRUTICOLA DE VERACRUZ AC,EVENTO,"EVENTO NACIONAL PARA FOMENTAR EL CONSUMO DE TRUCHA AIRCOIRIS EN XALAPA, VERACRUZ",150000,150000,TRUCHA,ESTATAL,GOLFO DE MEXICO,VERACRUZ,30,XALAPA,30087,XALAPA-ENRIQUEZ,300870001,MORAL,300870001,NA,NA,No Disponible,FOMENTO AL CONSUMO,SISTEMA PRODUCTO TRUTICOLA DE VERACRUZ AC-XX-XX-300870001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CENTRO NAYARITA DE INNOVACION Y TRANSFERENCIA DE TECNOLOGIA AC,EVENTO,1RA EXPO REGIONAL DE PESCADOS Y MARISCOS NAYARIT 2017 ,150000,150000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,NAYARIT,18,TEPIC,18017,TEPIC,180170001,MORAL,180170001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CENTRO NAYARITA DE INNOVACION Y TRANSFERENCIA DE TECNOLOGIA AC-XX-XX-180170001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ACUACULTURA INTEGRAL DE BAJA CALIFORNIA SA DE CV,EVENTO,FESTIVAL DE LAS CONCHAS Y VINOS NUEVOS 2017,539941,539941,PESCADOS Y MARISCOS,ESTATAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ACUACULTURA INTEGRAL DE BAJA CALIFORNIA SA DE CV-XX-XX-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESFERA SOCIAL SC,ESTUDIO,ESTUDIO DE MERCADO Y EVALUACION DE PRODUCTOS CON BASE EN PESCADO,745428,745428,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. COYOACAN,9003,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ESFERA SOCIAL SC-XX-XX-09003XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV,EVENTO,"TEQUILA, MAR Y VINO",1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,SAN PEDRO TLAQUEPAQUE,14098,TLAQUEPAQUE,140980001,MORAL,140980001,NA,NA,No Disponible,FOMENTO AL CONSUMO,TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV-XX-XX-140980001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,EVENTO,9NA FERIA DE LA SARDINA,150000,150000,SARDINA,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
