EJERCICIO,programa,componente,incentivo,uni_admin,cve_presupuestal,beneficiario,monto_federal_aportado,tipo_cobertura,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,cve_inegi,fecha_ini,fechar_ter,tipo_apoyo,direccion,tipodecomite,PESQUERIA,rnpa,RNPA_disponible,entidad_comite,cobertura_comite,pesqueria_estandar,clasificacion_cn,ID_ben
2013,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO BAGRE DEL ESTADO DE PUEBLA AC,514000,LOCAL,AGUAS INTERIORES,PUEBLA,21,CHIETLA,21051,BUENAVISTA DE BENITO JUAREZ,210510004,210510004, 6/21/2013, 3/31/2014,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Carretera Municipal Chietla Tlancualpican S/N Col. Buenavista De Benito Juarez Ciudad Localidad Edo. Puebla C.P. 74586,ESTATAL,BAGRE,NA,No Disponible,PUEBLA,ESTATAL,BAGRES,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO BAGRE DEL ESTADO DE PUEBLA AC-XX-XX-210510004
2015,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,SISTEMA PRODUCTO TILAPIA AGUASCALIENTES AC,367475,LOCAL,AGUAS INTERIORES,AGUASCALIENTES,1,CALVILLO,1003,ARROYO OJOCALIENTILLO,10030056,10030056, 4/30/2015, 3/31/2016,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Prolongacion Cuauhtemoc 102 Col. Arroyo Ojocalientillo Ciudad Localidad Edo. Aguascalientes C.P. 20852,ESTATAL,TILAPIA,NA,No Disponible,AGUASCALIENTES,ESTATAL,ESCAMA,CADENAS PRODUCTIVAS,SISTEMA PRODUCTO TILAPIA AGUASCALIENTES AC-XX-XX-010030056
2017,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC,535000,LOCAL,PACIFICO NORTE,SONORA,26,CAJEME,26018,CIUDAD OBREGON,260180001,260180001, 5/23/2017, 3/31/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Allende 1322 Pte Col.  Ciudad  Edo. Sonora C.P. ,ESTATAL,CAMARON CULTIVO,NA,No Disponible,SONORA,ESTATAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC-XX-XX-260180001
2016,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE ESTATAL SISTEMA PRODUCTO TILAPIA EN SAN LUIS POTOSI AC,749000,LOCAL,AGUAS INTERIORES,SAN LUIS POTOSI,24,MATEHUALA,24020,MATEHUALA,240200001,240200001,  5/3/2016, 3/31/2017,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Cordillera Del Marquez 161 C Col. Lomas 4A Seccion Ciudad San Luis Potosi Edo. San Luis Potosi C.P. 78216,ESTATAL,TILAPIA,NA,No Disponible,SAN LUIS POTOSI,ESTATAL,ESCAMA,CADENAS PRODUCTIVAS,COMITE ESTATAL SISTEMA PRODUCTO TILAPIA EN SAN LUIS POTOSI AC-XX-XX-240200001
2018,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC,347000,LOCAL,PACIFICO NORTE,SONORA,26,CAJEME,26018,CIUDAD OBREGON,260180001,260180001, 2/20/2018,11/30/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Allende 1322 Pte Col.  Ciudad  Edo. Sonora C.P. ,ESTATAL,CAMARON CULTIVO,NA,No Disponible,SONORA,ESTATAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC-XX-XX-260180001
2015,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC,432000,LOCAL,PACIFICO NORTE,SONORA,26,CAJEME,26018,CIUDAD OBREGON,260180001,260180001, 4/30/2015, 3/31/2016,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Allende 1322 Pte Col.  Ciudad  Edo. Sonora C.P. ,ESTATAL,CAMARON CULTIVO,NA,No Disponible,SONORA,ESTATAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC-XX-XX-260180001
2014,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC,294000,LOCAL,PACIFICO NORTE,SONORA,26,CAJEME,26018,CIUDAD OBREGON,260180001,260180001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Allende 1322 Pte Col.  Ciudad  Edo. Sonora C.P. ,ESTATAL,CAMARON CULTIVO,NA,No Disponible,SONORA,ESTATAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE ESTATAL SISTEMA PRODUCTO CAMARON DE CULTIVOSONORA AC-XX-XX-260180001
2016,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO CAMARON DE CULTIVO DE NAYARIT AC,193000,LOCAL,PACIFICO NORTE,NAYARIT,18,ACAPONETA,18001,ACAPONETA,180010001,180010001,  5/3/2016, 3/31/2017,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Matamoro Poniente 13 Col.  Ciudad  Edo. Nayarit C.P. ,ESTATAL,CAMARON CULTIVO,NA,No Disponible,NAYARIT,ESTATAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO CAMARON DE CULTIVO DE NAYARIT AC-XX-XX-180010001
2013,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO ESCAMA FINA AC,245996.37,LOCAL,GOLFO DE MEXICO,TAMAULIPAS,28,TAMPICO,28038,TAMPICO,280380001,280380001, 6/21/2013, 3/31/2014,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Villa Vera 103A Col. Lomas De Rosales Ciudad Tampico Edo. Tamaulipas C.P. 89100,ESTATAL,ESCAMA MARINA,NA,No Disponible,TAMAULIPAS,ESTATAL,ESCAMA,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO ESCAMA FINA AC-XX-XX-280380001
2013,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,CONSEJO MEXICANO DEL CALAMAR GIGANTE EN SONORA AC,770000,LOCAL,PACIFICO NORTE,SONORA,26,GUAYMAS,26029,HEROICA GUAYMAS,260290001,260290001, 6/21/2013, 3/31/2014,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 11 Y 12 Avenida Serdan 465 Col. Guaymas Centro Ciudad Heroica Guaymas Edo. Sonora C.P. 85400,ESTATAL,CALAMAR,NA,No Disponible,SONORA,NACIONAL,CALAMARES,CADENAS PRODUCTIVAS,CONSEJO MEXICANO DEL CALAMAR GIGANTE EN SONORA AC-XX-XX-260290001
