NOM_LOC,NOM_ENT,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
CATEMACO,VERACRUZ DE IGNACIO DE LA LLAVE,CATEMACO,30,30032,300320001,28655,15243,13412,-95.11233916666666,18.424614722222223
CD. CUAUHTEMOC,VERACRUZ DE IGNACIO DE LA LLAVE,PUEBLO VIEJO,30,30133,301330001,9663,4973,4690,-97.8366761111111,22.183632777777778
COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,COATZACOALCOS,30,30039,300390001,212540,111746,100794,-94.4530013888889,18.137882777777776
LA LAJA,VERACRUZ DE IGNACIO DE LA LLAVE,OZULUAMA DE MASCARENAS,30,30121,301210014,395,196,199,-97.69493555555556,21.68053916666667
NAUTLA,VERACRUZ DE IGNACIO DE LA LLAVE,NAUTLA,30,30114,301140001,3311,1739,1572,-96.77414722222223,20.209191666666666
TAMIAHUA,VERACRUZ DE IGNACIO DE LA LLAVE,TAMIAHUA,30,30151,301510001,4908,2562,2346,-97.44652472222222,21.279741944444442
TECOLUTLA,VERACRUZ DE IGNACIO DE LA LLAVE,TECOLUTLA,30,30158,301580001,5432,2828,2604,-97.00845083333333,20.477392499999997
TUXPAM DE RODRIGUEZ CANO,VERACRUZ DE IGNACIO DE LA LLAVE,TUXPAN,30,30189,301890001,89557,46988,42569,-97.40392722222222,20.964296666666666
VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,30,30193,301930001,405952,215818,190134,-96.15302750000001,19.190323333333332
CELESTUN,YUCATAN,CELESTUN,31,31011,310110001,8366,4149,4217,-90.39946361111112,20.86009166666667
DZILAM DE BRAVO,YUCATAN,DZILAM DE BRAVO,31,31028,310280001,2455,1230,1225,-88.89187972222223,21.393229166666668
EL CUYO,YUCATAN,TIZIMIN,31,31096,310960009,1787,868,919,-87.67814027777779,21.516858888888887
MERIDA,YUCATAN,MERIDA,31,31050,310500001,921771,479309,442462,-89.62439166666665,20.96753722222222
PROGRESO,YUCATAN,PROGRESO,31,31059,310590001,41965,21110,20855,-89.663595,21.282577222222223
RIO LAGARTOS,YUCATAN,RIO LAGARTOS,31,31061,310610001,2493,1247,1246,-88.1579775,21.597750555555553
SAN FELIPE,YUCATAN,SAN FELIPE,31,31065,310650001,2069,1009,1060,-88.23206333333333,21.567598888888888
SISAL,YUCATAN,HUNUCMA,31,31038,310380004,2078,1019,1059,-90.03254027777778,21.1648975
TELCHAC,YUCATAN,TELCHAC PUEBLO,31,31082,310820001,3496,1794,1702,-89.27126722222222,21.20334888888889
