CVE_LOC,CVE_MUN,CVE_ENT,NOM_LOC,NOM_MUN,NOM_ENT,rnpa,tot_subsidies,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015847,741926,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015953,307634.4,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015979,1307950.38,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203016316,33600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203016365,202510,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203016423,200000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203016522,246834,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203016977,19740,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203017017,1500000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126503,455150,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126537,458800,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126552,438659,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126602,598683,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126644,368000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126651,324616,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126693,1144694.63,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126707,1473155.92,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126727,1463572.09,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126743,812392,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126974,343728,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203126982,747227,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127048,325313,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127089,485061,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127170,781770,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127287,3638802.12,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127311,710786,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127360,1229372.68,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127378,751775,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127451,70000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127477,112600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203127485,597536.7,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,204000016,227575,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,204000079,136397,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,207001801,610116.65,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,207001942,73040.08,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2507002232,663400,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2508003940,634000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2508007958,899886.38,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2508011026,697859.52,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2604008868,84240,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,2604009916,1612398.21,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,313000028,140978.32,330652,167339,163313,-116.59513388888888,31.80894388888889
