CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010001,02001,16166,1,vessel modernization,203013834,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,606801,3,vessel modernization,203014063,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,302631,1,vessel modernization,203014279,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,275643,1,vessel modernization,203014295,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,258745,1,vessel modernization,203014436,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,1001131,4,vessel modernization,203014550,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,649232,2,vessel modernization,203014626,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,209566,1,vessel modernization,203014691,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,454570,4,vessel modernization,203014717,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,607553,3,vessel modernization,203014725,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,312480,1,vessel modernization,203014899,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,324287,1,vessel modernization,203015367,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,495434,3,vessel modernization,203015524,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,638127,3,vessel modernization,203015540,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,296596,2,vessel modernization,203015565,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,679521,3,vessel modernization,203015573,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,2027431,15,vessel modernization,203015748,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,741926,4,vessel modernization,203015847,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,455150,2,vessel modernization,203126503,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,438659,2,vessel modernization,203126552,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,598683,3,vessel modernization,203126602,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,324616,1,vessel modernization,203126651,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,167049,1,vessel modernization,203126693,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,1375630,5,vessel modernization,203126727,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,812392,4,vessel modernization,203126743,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,343728,2,vessel modernization,203126974,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,747227,5,vessel modernization,203126982,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,325313,1,vessel modernization,203127048,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,485061,3,vessel modernization,203127089,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,427940,4,vessel modernization,203127311,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,462050,3,vessel modernization,203127360,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,612058,3,vessel modernization,203127378,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,112600,1,vessel modernization,203127477,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,112600,1,vessel modernization,203127485,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,227575,1,vessel modernization,204000016,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,136397,1,vessel modernization,204000079,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,6648395,42,vessel modernization,NA,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010046,02001,1226849,5,vessel modernization,203003058,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,885690,5,vessel modernization,203007414,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,571353,4,vessel modernization,203007596,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,1023202,6,vessel modernization,203010756,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,605262,2,vessel modernization,203013859,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,888681,5,vessel modernization,203015185,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,459767,2,vessel modernization,203015805,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,459767,2,vessel modernization,203015870,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,830324,4,vessel modernization,203017116,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,1969847,10,vessel modernization,203127048,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,450919,4,vessel modernization,203127220,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,1186365,5,vessel modernization,203127477,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010046,02001,853974,3,vessel modernization,208001263,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010060,02001,139869,1,vessel modernization,203002472,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010060,02001,594109,2,vessel modernization,203003264,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010060,02001,505800,2,vessel modernization,203009188,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010060,02001,2237960,15,vessel modernization,203010715,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010060,02001,2258028,14,vessel modernization,203011093,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010095,02001,6709689,42,vessel modernization,203127311,BAJA CALIFORNIA,ENSENADA,EJIDO ERENDIRA,02,1711,819,892,-116.37139499999999,31.27332361111111
020010095,02001,365541,2,vessel modernization,203127731,BAJA CALIFORNIA,ENSENADA,EJIDO ERENDIRA,02,1711,819,892,-116.37139499999999,31.27332361111111
020010117,02001,8845,1,vessel modernization,203126889,NA,NA,NA,NA,NA,NA,NA,NA,NA
020010124,02001,1091229,6,vessel modernization,203009314,BAJA CALIFORNIA,ENSENADA,ISLA DE CEDROS,02,1233,582,651,-115.19277777777778,28.095555555555553
020010124,02001,88100,1,vessel modernization,204000061,BAJA CALIFORNIA,ENSENADA,ISLA DE CEDROS,02,1233,582,651,-115.19277777777778,28.095555555555553
020010139,02001,354571,1,vessel modernization,203012505,BAJA CALIFORNIA,ENSENADA,RODOLFO SANCHEZ TABOADA (MANEADERO),02,27969,13921,14048,-116.57149055555556,31.72355083333333
