NOM_LOC,NOM_ENT,rnp_code,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
MAZATLAN,SINALOA,2508012263,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012289,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012255,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013212,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012859,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013535,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012016,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013014,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012156,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013600,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012776,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508017734,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508073075,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012750,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012628,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2501005132,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012768,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013592,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013220,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012297,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013675,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508018468,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508017650,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012800,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013337,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013659,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508018542,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508018450,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013931,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012586,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508012370,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
MAZATLAN,SINALOA,2508013055,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
NAVOLATO,SINALOA,2509003360,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509003022,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001463,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509000333,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001810,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509000184,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509000200,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509000325,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001505,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001265,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509000408,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001422,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001331,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001372,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001612,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509001778,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509002339,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
NAVOLATO,SINALOA,2509003121,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
TOPOLOBAMPO,SINALOA,2511001246,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511002152,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511001451,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511001063,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2507010854,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511001204,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511000883,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511002046,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511001196,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511000131,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
TOPOLOBAMPO,SINALOA,2511001212,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
BAHIA DE KINO,SONORA,2602002236,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
BAHIA DE KINO,SONORA,2505001640,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
BAHIA DE KINO,SONORA,2611002292,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
BAHIA DE KINO,SONORA,2611031945,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
BAHIA DE KINO,SONORA,2611000718,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
BAHIA DE KINO,SONORA,2611002194,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
CIUDAD OBREGON,SONORA,2604001186,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
CIUDAD OBREGON,SONORA,2602001378,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
