NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,year
SINALOA,CULIACAN,BACHIGUALATITO,25,250063141,25006,7200,1,bienpesca,BIENPESCA,2020
SINALOA,CULIACAN,BACHIGUALATITO,25,250063141,25006,7200,1,bienpesca,BIENPESCA,2021
SINALOA,CULIACAN,BACHIGUALATITO,25,250063141,25006,7200,1,bienpesca,BIENPESCA,2022
SINALOA,CULIACAN,BACHIGUALATITO,25,250063141,25006,1875,1,bienpesca,BIENPESCA,2023
SINALOA,NAVOLATO,BACHIMETO,25,250180010,25018,36000,5,bienpesca,BIENPESCA,2020
SINALOA,NAVOLATO,BACHIMETO,25,250180010,25018,36000,5,bienpesca,BIENPESCA,2021
SINALOA,NAVOLATO,BACHIMETO,25,250180010,25018,14400,2,bienpesca,BIENPESCA,2022
SINALOA,NAVOLATO,BACHIMETO,25,250180010,25018,5625,3,bienpesca,BIENPESCA,2023
SONORA,HUATABAMPO,BACHOCO,26,260330012,26033,424800,59,bienpesca,BIENPESCA,2020
SONORA,HUATABAMPO,BACHOCO,26,260330012,26033,424800,59,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,BACHOCO,26,260330012,26033,417600,58,bienpesca,BIENPESCA,2022
SONORA,NAVOJOA,BACHOCO,NA,NA,NA,28800,4,bienpesca,BIENPESCA,2020
SONORA,NAVOJOA,BACHOCO,NA,NA,NA,28800,4,bienpesca,BIENPESCA,2021
SONORA,NAVOJOA,BACHOCO,NA,NA,NA,28800,4,bienpesca,BIENPESCA,2022
SINALOA,NAVOLATO,BACHOCO,25,250180011,25018,28800,4,bienpesca,BIENPESCA,2020
SINALOA,NAVOLATO,BACHOCO,25,250180011,25018,28800,4,bienpesca,BIENPESCA,2021
SINALOA,NAVOLATO,BACHOCO,25,250180011,25018,14400,2,bienpesca,BIENPESCA,2022
SINALOA,NAVOLATO,BACHOCO,25,250180011,25018,3750,2,bienpesca,BIENPESCA,2023
SINALOA,AHOME,BACHOMOBAMPO NUMERO DOS,25,250010407,25001,122400,17,bienpesca,BIENPESCA,2020
SINALOA,AHOME,BACHOMOBAMPO NUMERO DOS,25,250010407,25001,136800,19,bienpesca,BIENPESCA,2021
SINALOA,AHOME,BACHOMOBAMPO NUMERO DOS,25,250010407,25001,129600,18,bienpesca,BIENPESCA,2022
SINALOA,AHOME,BACHOMOBAMPO NUMERO DOS,25,250010407,25001,35625,19,bienpesca,BIENPESCA,2023
SINALOA,AHOME,BACHOMOBAMPO NUMERO UNO,25,250010082,25001,1875,1,bienpesca,BIENPESCA,2023
SONORA,BACOACHI,BACOACHI,26,260110001,26011,14400,2,bienpesca,BIENPESCA,2020
SONORA,ETCHOJOA,BACOBAMPO,26,260260011,26026,79200,11,bienpesca,BIENPESCA,2020
SONORA,ETCHOJOA,BACOBAMPO,26,260260011,26026,79200,11,bienpesca,BIENPESCA,2021
SONORA,ETCHOJOA,BACOBAMPO,26,260260011,26026,79200,11,bienpesca,BIENPESCA,2022
SINALOA,AHOME,BACOREHUIS,25,250010081,25001,1627200,226,bienpesca,BIENPESCA,2020
SINALOA,AHOME,BACOREHUIS,25,250010081,25001,1713600,238,bienpesca,BIENPESCA,2021
SINALOA,AHOME,BACOREHUIS,25,250010081,25001,1598400,222,bienpesca,BIENPESCA,2022
SINALOA,AHOME,BACOREHUIS,25,250010081,25001,470625,251,bienpesca,BIENPESCA,2023
SINALOA,SINALOA,BACUBIRITO,25,250171046,25017,468000,65,bienpesca,BIENPESCA,2020
SINALOA,SINALOA,BACUBIRITO,25,250171046,25017,482400,67,bienpesca,BIENPESCA,2021
SINALOA,SINALOA,BACUBIRITO,25,250171046,25017,475200,66,bienpesca,BIENPESCA,2022
SINALOA,SINALOA,BACUBIRITO,25,250171046,25017,125625,67,bienpesca,BIENPESCA,2023
SONORA,BACUM,BACUM,26,260120001,26012,72000,10,bienpesca,BIENPESCA,2020
SONORA,BACUM,BACUM,26,260120001,26012,72000,10,bienpesca,BIENPESCA,2021
SONORA,BACUM,BACUM,26,260120001,26012,57600,8,bienpesca,BIENPESCA,2022
SINALOA,SINALOA,BACURATO,25,250170367,25017,273600,38,bienpesca,BIENPESCA,2020
SINALOA,SINALOA,BACURATO,25,250170367,25017,266400,37,bienpesca,BIENPESCA,2021
SINALOA,SINALOA,BACURATO,25,250170367,25017,273600,38,bienpesca,BIENPESCA,2022
SINALOA,SINALOA,BACURATO,25,250170367,25017,71250,38,bienpesca,BIENPESCA,2023
SINALOA,BADIRAGUATO,BADIRAGUATO,25,250030001,25003,64800,9,bienpesca,BIENPESCA,2020
SINALOA,BADIRAGUATO,BADIRAGUATO,25,250030001,25003,72000,10,bienpesca,BIENPESCA,2021
SINALOA,BADIRAGUATO,BADIRAGUATO,25,250030001,25003,57600,8,bienpesca,BIENPESCA,2022
SINALOA,BADIRAGUATO,BADIRAGUATO,25,250030001,25003,15000,8,bienpesca,BIENPESCA,2023
SINALOA,AHOME,BAGOJO COLECTIVO,25,250010083,25001,14400,2,bienpesca,BIENPESCA,2020
SINALOA,AHOME,BAGOJO COLECTIVO,25,250010083,25001,14400,2,bienpesca,BIENPESCA,2021
SINALOA,AHOME,BAGOJO COLECTIVO,25,250010083,25001,14400,2,bienpesca,BIENPESCA,2022
SINALOA,AHOME,BAGOJO COLECTIVO,25,250010083,25001,7500,4,bienpesca,BIENPESCA,2023
BAJA CALIFORNIA SUR,MULEGE,BAHIA ASUNCION,03,030020014,03002,1310400,182,bienpesca,BIENPESCA,2020
BAJA CALIFORNIA SUR,MULEGE,BAHIA ASUNCION,03,030020014,03002,1303200,181,bienpesca,BIENPESCA,2021
BAJA CALIFORNIA SUR,MULEGE,BAHIA ASUNCION,03,030020014,03002,1958400,272,bienpesca,BIENPESCA,2022
MICHOACAN,LAZARO CARDENAS,BAHIA BUFADERO (CALETA DE CAMPOS),NA,NA,NA,273600,38,bienpesca,BIENPESCA,2020
MICHOACAN,LAZARO CARDENAS,BAHIA BUFADERO (CALETA DE CAMPOS),NA,NA,NA,266400,37,bienpesca,BIENPESCA,2021
MICHOACAN,LAZARO CARDENAS,BAHIA BUFADERO (CALETA DE CAMPOS),NA,NA,NA,259200,36,bienpesca,BIENPESCA,2022
NAYARIT,BAHIA DE BANDERAS,BAHIA DE BANDERAS,NA,NA,NA,1051200,146,bienpesca,BIENPESCA,2020
NAYARIT,BAHIA DE BANDERAS,BAHIA DE BANDERAS,NA,NA,NA,943200,131,bienpesca,BIENPESCA,2021
NAYARIT,BAHIA DE BANDERAS,BAHIA DE BANDERAS,NA,NA,NA,770400,107,bienpesca,BIENPESCA,2022
SONORA,HERMOSILLO,BAHIA DE KINO,26,260300137,26030,2289600,318,bienpesca,BIENPESCA,2020
SONORA,HERMOSILLO,BAHIA DE KINO,26,260300137,26030,2289600,318,bienpesca,BIENPESCA,2021
SONORA,HERMOSILLO,BAHIA DE KINO,26,260300137,26030,2232000,310,bienpesca,BIENPESCA,2022
NAYARIT,SAN BLAS,BAHIA DE MATANCHEN,18,180120073,18012,7200,1,bienpesca,BIENPESCA,2020
NAYARIT,SAN BLAS,BAHIA DE MATANCHEN,18,180120073,18012,7200,1,bienpesca,BIENPESCA,2021
NAYARIT,SAN BLAS,BAHIA DE MATANCHEN,18,180120073,18012,7200,1,bienpesca,BIENPESCA,2022
OAXACA,SANTA MARIA HUATULCO,BAHIA DE SANTA CRUZ HUATULCO,20,204130021,20413,799200,111,bienpesca,BIENPESCA,2020
OAXACA,SANTA MARIA HUATULCO,BAHIA DE SANTA CRUZ HUATULCO,20,204130021,20413,792000,110,bienpesca,BIENPESCA,2021
OAXACA,SANTA MARIA HUATULCO,BAHIA DE SANTA CRUZ HUATULCO,20,204130021,20413,756000,105,bienpesca,BIENPESCA,2022
SONORA,SAN IGNACIO RIO MUERTO,BAHIA LOBOS,NA,NA,NA,4708800,654,bienpesca,BIENPESCA,2020
SONORA,SAN IGNACIO RIO MUERTO,BAHIA LOBOS,NA,NA,NA,4896000,680,bienpesca,BIENPESCA,2021
SONORA,SAN IGNACIO RIO MUERTO,BAHIA LOBOS,NA,NA,NA,4824000,670,bienpesca,BIENPESCA,2022
BAJA CALIFORNIA SUR,MULEGE,BAHIA TORTUGAS,03,030020015,03002,2196000,305,bienpesca,BIENPESCA,2020
BAJA CALIFORNIA SUR,MULEGE,BAHIA TORTUGAS,03,030020015,03002,2210400,307,bienpesca,BIENPESCA,2021
BAJA CALIFORNIA SUR,MULEGE,BAHIA TORTUGAS,03,030020015,03002,3456000,480,bienpesca,BIENPESCA,2022
SINALOA,CULIACAN,BAILA,25,250060151,25006,57600,8,bienpesca,BIENPESCA,2020
SINALOA,CULIACAN,BAILA,25,250060151,25006,57600,8,bienpesca,BIENPESCA,2021
SINALOA,CULIACAN,BAILA,25,250060151,25006,57600,8,bienpesca,BIENPESCA,2022
SINALOA,CULIACAN,BAILA,25,250060151,25006,15000,8,bienpesca,BIENPESCA,2023
BAJA CALIFORNIA,ENSENADA,BAJA BEACH AND TENNIS CLUB,02,020013283,02001,7200,1,bienpesca,BIENPESCA,2020
BAJA CALIFORNIA,ENSENADA,BAJA BEACH AND TENNIS CLUB,02,020013283,02001,7200,1,bienpesca,BIENPESCA,2021
